precipitation,day,month,year,temperature,dewpoint,humidity,wind,Decimal Date,Carbon Dioxide (ppm),Seasonally Adjusted CO2 (ppm),Carbon Dioxide Fit (ppm),Seasonally Adjusted CO2 Fit (ppm)
0,1,7,2012,81,60,53,9,2012.5383,394.52,393.72,394.73,393.97
0.8,1,8,2012,73,66,79,8,2012.623,392.54,394.06,392.64,394.2
0,1,9,2012,72,59,62,8,2012.7077,391.13,394.58,390.97,394.45
0,1,10,2012,59,49,73,16,2012.7896,391.01,394.59,391.13,394.69
0,1,11,2012,51,39,68,10,2012.8743,392.95,395.2,392.71,394.93
0.03,1,12,2012,30,23,69,7,2012.9563,394.34,395.27,394.25,395.16
0,1,1,2013,29,16,53,14,2013.0411,395.61,395.58,395.43,395.4
0,1,2,2013,29,7,38,17,2013.126,396.85,396.12,396.36,395.62
0,1,3,2013,38,29,76,10,2013.2027,397.26,395.71,397.38,395.82
0.12,1,4,2013,49,37,66,15,2013.2877,398.35,395.56,398.84,396.03
0,1,5,2013,53,38,57,6,2013.3699,399.98,396.62,399.59,396.23
0,1,6,2013,81,63,54,13,2013.4548,398.87,396.32,398.96,396.44
0.03,1,7,2013,78,71,79,9,2013.537,397.37,396.54,397.43,396.63
1,1,8,2013,74,61,68,10,2013.6219,395.41,396.91,395.28,396.82
0.38,1,9,2013,75,69,86,9,2013.7068,393.39,396.85,393.54,397.01
0,1,10,2013,64,51,64,7,2013.789,393.7,397.29,393.62,397.19
0.03,1,11,2013,66,57,73,21,2013.874,395.19,397.46,395.13,397.37
0.27,1,12,2013,41,36,83,6,2013.9562,396.82,397.76,396.62,397.54
0,1,1,2014,24,5,43,9,2014.0411,397.93,397.9,397.75,397.71
0,1,2,2014,37,21,57,8,2014.126,398.1,397.37,398.62,397.88
0,1,3,2014,26,7,40,6,2014.2027,399.47,397.92,399.6,398.03
0,1,4,2014,41,28,60,10,2014.2877,401.33,398.53,401.01,398.19
0.62,1,5,2014,52,48,89,6,2014.3699,401.88,398.51,401.72,398.35
0,1,6,2014,59,44,61,8,2014.4548,401.31,398.75,401.04,398.51
0,1,7,2014,79,65,67,14,2014.537,399.07,398.23,399.47,398.67
0,1,8,2014,74,64,73,9,2014.6219,397.21,398.72,397.29,398.83
0,1,9,2014,79,70,74,8,2014.7068,395.4,398.87,395.51,399
1.16,1,10,2014,57,56,97,16,2014.789,395.65,399.25,395.58,399.17
0.59,1,11,2014,44,39,77,17,2014.874,397.22,399.5,397.1,399.34
0.01,1,12,2014,52,40,63,13,2014.9562,398.79,399.73,398.6,399.52
0,1,1,2015,28,8,43,14,2015.0411,399.85,399.83,399.73,399.7
0,1,2,2015,21,2,48,12,2015.126,400.31,399.57,400.63,399.89
0.17,1,3,2015,21,16,66,6,2015.2027,401.51,399.96,401.64,400.06
0,1,4,2015,39,7,29,10,2015.2877,403.45,400.64,403.1,400.27
0,1,5,2015,44,39,82,8,2015.3699,404.11,400.73,403.86,400.48
0.38,1,6,2015,48,47,97,14,2015.4548,402.88,400.31,403.25,400.71
0.5,1,7,2015,72,64,78,10,2015.537,401.6,400.76,401.76,400.96
1,1,8,2015,79,58,50,10,2015.6219,399,400.51,399.68,401.23
